school_name,year,StudentID,First Name,Last Name,Year Level,Class,Subject,Answers,Correct Answers,Question Number,Subject Contents,Assessment Areas,sydney_correct_count_percentage,sydney_average_score,sydney_participants,student_score,student_total_assessed,student_area_assessed_score,total_area_assessed_score,participant,correct_answer_percentage_per_class,average_score,school_percentile,sydney_percentile,strength_status,high_distinct_count,distinct_count,credit_count,participant_count,award
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,B,B,31,Subject Content 1 for Art,Assessment Area 1 for Art,28.26,71.44,26,55.5,23,8.81,60.13,22,2.57,36.98,7,68,W,83,43,89,78,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,D,B,27,Subject Content 2 for Art,Assessment Area 2 for Art,13.88,40.33,61,41.18,45,62.85,85.78,26,19.23,44.1,75,71,W,62,71,55,96,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,A,D,36,Subject Content 3 for Art,Assessment Area 3 for Art,28.7,82.18,82,71.08,64,81.31,30.22,90,5.25,86.23,86,12,W,18,51,67,55,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,B,B,32,Subject Content 4 for Art,Assessment Area 4 for Art,45.16,72.46,53,41.14,27,94.07,36.25,30,85.65,5.1,87,9,W,19,49,70,79,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,D,D,41,Subject Content 5 for Art,Assessment Area 5 for Art,47.22,40.41,43,21.18,63,35.54,27.73,66,79.09,89.24,46,49,W,6,30,53,20,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,C,A,26,Subject Content 6 for Art,Assessment Area 6 for Art,46.57,79.01,61,54.43,87,46.04,9.42,65,27.27,48.31,60,48,W,49,35,40,44,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,D,?,42,Subject Content 7 for Art,Assessment Area 7 for Art,68.67,39.81,85,46.05,29,25.79,34.6,96,71.7,58.21,56,69,W,18,90,55,24,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,B,A,50,Subject Content 8 for Art,Assessment Area 8 for Art,81.07,68.96,47,73.45,99,27.68,1.02,73,5.92,89.91,26,96,W,57,58,47,29,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,B,D,37,Subject Content 9 for Art,Assessment Area 9 for Art,15.03,27.47,44,0.75,54,39.46,63.94,52,54.85,51.9,26,92,W,86,36,20,66,Distinction
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,2,Class 2,Art,A,D,40,Subject Content 10 for Art,Assessment Area 10 for Art,21.67,93.4,56,55.99,13,53.48,49.09,41,59.35,25.18,99,60,W,35,70,18,99,Distinction
