school_name,year,StudentID,First Name,Last Name,Year Level,Class,Subject,Answers,Correct Answers,Question Number,Subject Contents,Assessment Areas,sydney_correct_count_percentage,sydney_average_score,sydney_participants,student_score,student_total_assessed,student_area_assessed_score,total_area_assessed_score,participant,correct_answer_percentage_per_class,average_score,school_percentile,sydney_percentile,strength_status,high_distinct_count,distinct_count,credit_count,participant_count,award
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,C,?,42,Subject Content 1 for History,Assessment Area 1 for History,74.68,72.78,68,50.44,84,98.27,54.47,56,81.31,88.83,80,15,S,47,93,94,88,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,B,?,45,Subject Content 2 for History,Assessment Area 2 for History,15.52,44.26,49,75.99,62,82.92,47.16,76,30.84,54.25,38,3,S,48,59,54,58,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,B,B,33,Subject Content 3 for History,Assessment Area 3 for History,69.83,31.37,51,89.22,97,82.16,27.28,96,68.22,46.24,98,76,S,2,65,93,27,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,A,B,35,Subject Content 4 for History,Assessment Area 4 for History,14.42,35.12,62,27.65,63,87.2,32.72,94,74.92,62.23,66,60,S,77,76,97,89,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,D,C,26,Subject Content 5 for History,Assessment Area 5 for History,3.84,35.87,83,49.3,20,22.31,20.41,45,53.51,54.21,78,78,S,44,38,17,82,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,A,?,47,Subject Content 6 for History,Assessment Area 6 for History,87.44,16.27,34,27.75,88,67.64,25.89,64,25.08,43.83,59,54,S,67,45,6,20,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,B,C,41,Subject Content 7 for History,Assessment Area 7 for History,62.16,36.79,41,48.54,24,48.58,32.59,95,4.39,99.46,4,48,S,95,17,67,100,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,C,A,36,Subject Content 8 for History,Assessment Area 8 for History,87.12,87.64,77,63.19,47,16.78,54.35,98,48.2,31.22,84,90,S,46,36,78,59,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,B,?,39,Subject Content 9 for History,Assessment Area 9 for History,37.77,55.75,34,63.19,26,25.11,79.13,77,50.22,91.51,49,47,S,33,12,74,30,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,D,A,28,Subject Content 10 for History,Assessment Area 10 for History,64.67,61.29,55,62.33,94,23.97,28.93,87,72.4,31.14,19,3,S,81,86,15,80,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,C,D,34,Subject Content 1 for History,Assessment Area 1 for History,97.59,89.15,77,79.88,25,8.04,26.79,73,44.84,44.07,77,88,S,99,71,52,60,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,D,C,46,Subject Content 2 for History,Assessment Area 2 for History,55.36,96.36,58,59.33,85,16.44,4.8,14,21.53,38.02,98,86,S,97,21,1,68,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,B,?,49,Subject Content 3 for History,Assessment Area 3 for History,73.86,45.96,29,20.21,73,93.48,24.83,14,84.16,84.1,75,48,S,53,41,7,1,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,D,B,29,Subject Content 4 for History,Assessment Area 4 for History,98.69,37.66,37,56.67,80,65.34,44,52,79.75,65.01,42,30,S,69,97,73,3,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,A,A,38,Subject Content 5 for History,Assessment Area 5 for History,40.69,90.92,28,36.27,59,99.79,53.26,90,84.18,47.9,40,61,S,19,30,89,31,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,D,?,44,Subject Content 6 for History,Assessment Area 6 for History,3.21,1.72,89,98.76,85,49.09,37.6,32,9.4,33.62,68,32,S,68,46,56,94,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,C,?,30,Subject Content 7 for History,Assessment Area 7 for History,94.47,50.84,47,37.21,59,29.69,62.86,45,4.46,26.02,30,69,S,59,26,84,91,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,C,B,48,Subject Content 8 for History,Assessment Area 8 for History,60.49,77.96,62,64.07,32,44.44,89.14,63,36.29,6.82,76,31,S,16,47,35,20,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,D,A,32,Subject Content 9 for History,Assessment Area 9 for History,61.09,31.31,65,0.97,29,76.85,79.74,70,35.24,91.42,68,1,S,74,36,84,69,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,B,A,50,Subject Content 10 for History,Assessment Area 10 for History,85.71,25.04,45,40.72,19,14.05,66.12,97,97.28,15.68,56,15,S,90,73,54,88,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,D,A,27,Subject Content 1 for History,Assessment Area 1 for History,11,27.56,88,8.36,20,83.71,90.18,79,44.12,93.95,76,55,S,59,28,80,75,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,A,D,31,Subject Content 2 for History,Assessment Area 2 for History,91.11,36.08,98,59.75,58,5.03,53.13,21,83.34,40.03,21,36,S,84,66,17,47,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,D,B,43,Subject Content 3 for History,Assessment Area 3 for History,86.35,37.59,63,66.79,28,94.6,45.27,51,39.16,61.41,77,51,S,40,3,69,3,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,C,B,40,Subject Content 4 for History,Assessment Area 4 for History,25.62,77.44,53,32.31,19,15.47,97,84,87.85,92.77,35,55,S,5,99,95,46,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,History,A,C,37,Subject Content 5 for History,Assessment Area 5 for History,14.38,7.41,77,34.7,62,21.96,63.56,85,5.04,51.45,69,36,S,49,3,82,31,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,A,C,29,Subject Content 1 for English,Assessment Area 1 for English,30.28,57.45,94,52.97,59,34.08,31.65,14,99.41,3.61,38,35,S,45,85,17,17,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,B,A,46,Subject Content 2 for English,Assessment Area 2 for English,16.54,35.99,82,3.06,40,59.88,49.92,39,68.58,32.83,43,81,S,14,15,42,91,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,A,C,50,Subject Content 3 for English,Assessment Area 3 for English,45.76,70.86,54,43.87,51,55.93,53.07,66,92.81,98.09,46,3,S,10,52,66,58,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,D,C,47,Subject Content 4 for English,Assessment Area 4 for English,73.94,54.08,95,20.83,15,6.65,93.03,85,98.38,47.28,14,29,S,5,52,62,63,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,D,B,31,Subject Content 5 for English,Assessment Area 5 for English,55.61,28.81,44,62.47,79,58.86,46.56,65,94.26,3.9,62,1,S,58,73,57,27,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,D,C,49,Subject Content 6 for English,Assessment Area 6 for English,12.04,28.24,52,45.91,72,74.65,87.98,15,86.04,44.78,76,63,S,81,43,100,33,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,C,D,38,Subject Content 7 for English,Assessment Area 7 for English,7.25,52.21,25,3.73,98,72.3,67.3,98,1.22,68.59,86,54,S,21,63,40,98,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,A,C,44,Subject Content 8 for English,Assessment Area 8 for English,13.62,84.84,85,56.56,83,72.48,2.18,80,31.8,69.85,24,59,S,100,16,38,16,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,D,B,48,Subject Content 9 for English,Assessment Area 9 for English,50.66,70.51,82,68.98,97,6.73,45.22,36,19.39,69.08,21,93,S,77,49,74,32,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,A,A,28,Subject Content 10 for English,Assessment Area 10 for English,46.77,51.51,12,41.38,38,42.77,16.56,98,37.44,3.2,38,22,S,60,19,66,90,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,B,A,36,Subject Content 1 for English,Assessment Area 1 for English,56.65,74.67,34,72.81,71,5.96,39.91,56,84.42,92.71,75,12,S,93,76,52,13,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,B,C,32,Subject Content 2 for English,Assessment Area 2 for English,88.95,18.6,43,44.8,21,70.56,95.66,27,71.62,65.16,28,13,S,78,39,39,45,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,D,A,37,Subject Content 3 for English,Assessment Area 3 for English,67.96,39.51,98,12.29,54,78.21,64.72,29,7.08,39.88,39,59,S,4,83,36,31,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,A,B,42,Subject Content 4 for English,Assessment Area 4 for English,93.27,96.36,84,92.19,62,26.46,33.45,85,64.96,75.01,68,44,S,51,87,82,84,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,B,D,39,Subject Content 5 for English,Assessment Area 5 for English,43.26,54.45,45,1.13,41,59.21,17.16,72,96.36,53.76,3,15,S,73,88,46,8,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,C,B,40,Subject Content 6 for English,Assessment Area 6 for English,4.91,0.08,76,39.2,54,63.77,56.97,89,90.68,62.91,2,67,S,35,30,75,13,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,D,C,33,Subject Content 7 for English,Assessment Area 7 for English,38.88,81.72,80,97.41,75,19.63,82.03,70,91.5,35.2,70,18,S,80,39,73,44,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,B,A,27,Subject Content 8 for English,Assessment Area 8 for English,63.11,74.26,95,53.65,86,45.83,44.04,61,43.04,59.83,32,69,S,64,60,89,94,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,C,B,34,Subject Content 9 for English,Assessment Area 9 for English,31.61,25.23,59,89.13,20,90.35,53.22,85,76.9,72.12,56,15,S,27,9,33,84,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,B,B,45,Subject Content 10 for English,Assessment Area 10 for English,35.39,78.87,28,4.3,44,74.98,37.36,63,25.64,55.26,5,39,S,53,34,73,38,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,D,?,30,Subject Content 1 for English,Assessment Area 1 for English,73.33,74.22,71,85.44,72,46.98,10.94,94,31.68,37.65,34,3,S,1,10,83,26,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,D,?,41,Subject Content 2 for English,Assessment Area 2 for English,84.25,85.92,33,40.31,80,10.98,42.45,62,23.73,54.88,69,59,S,24,89,97,14,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,B,B,26,Subject Content 3 for English,Assessment Area 3 for English,89.71,74.77,63,89.63,91,68.32,77.18,58,45.14,14.68,73,41,S,69,42,62,76,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,D,A,35,Subject Content 4 for English,Assessment Area 4 for English,80.34,96.78,60,28.73,53,84.86,71.87,36,70.04,53.17,34,40,S,21,27,40,7,Credit
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,8,Class 8,English,C,?,43,Subject Content 5 for English,Assessment Area 5 for English,96.26,77.07,19,81.31,34,55.39,64.43,33,30.39,24.86,52,84,S,69,95,91,57,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,D,B,32,Subject Content 1 for History,Assessment Area 1 for History,36.69,66.6,93,39.94,45,27.19,72.78,55,62,71.79,70,50,S,75,39,83,47,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,B,?,35,Subject Content 2 for History,Assessment Area 2 for History,83.44,94.38,43,38.83,74,74.66,11.84,37,40.51,28.54,51,6,S,79,78,70,38,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,C,D,26,Subject Content 3 for History,Assessment Area 3 for History,4.28,56.84,30,82.17,81,52.31,11.9,97,12.04,9.29,8,34,S,96,7,25,47,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,A,C,49,Subject Content 4 for History,Assessment Area 4 for History,93.09,62.08,60,57.5,24,41.58,74.58,87,4.06,81.54,7,66,S,93,67,19,14,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,A,A,45,Subject Content 5 for History,Assessment Area 5 for History,71.45,36.75,77,99.27,61,96.88,0.74,45,38.02,94.07,19,70,S,17,45,89,86,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,B,C,31,Subject Content 6 for History,Assessment Area 6 for History,66.96,41.21,76,76.52,59,29.45,7.32,91,84.74,78.32,10,63,S,73,35,20,2,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,C,B,37,Subject Content 7 for History,Assessment Area 7 for History,24.87,74.29,79,60.15,44,58.39,22.17,57,68.25,79.54,100,64,S,53,20,6,25,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,A,A,29,Subject Content 8 for History,Assessment Area 8 for History,66.64,28.64,37,85.19,34,91.76,62.51,50,99.12,0.05,45,60,S,77,22,17,33,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,C,B,43,Subject Content 9 for History,Assessment Area 9 for History,95.69,53.72,89,30.57,73,83.32,99.85,87,56.36,45.24,40,77,S,88,73,49,37,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,A,C,33,Subject Content 10 for History,Assessment Area 10 for History,53.24,30.84,88,92.79,52,88.6,78.06,82,32.98,70.47,98,82,S,42,77,78,38,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,B,C,34,Subject Content 1 for History,Assessment Area 1 for History,27.43,89.46,97,8.48,15,16.23,5.51,86,38.76,93.69,24,65,S,52,52,26,25,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,C,A,28,Subject Content 2 for History,Assessment Area 2 for History,80.25,57.64,62,41.69,99,47.78,78.18,33,25.23,73.65,37,75,S,28,77,51,61,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,A,B,50,Subject Content 3 for History,Assessment Area 3 for History,89.36,74.86,30,52.89,12,49.65,24.79,47,55.74,79.17,78,15,S,75,56,79,92,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,D,C,46,Subject Content 4 for History,Assessment Area 4 for History,85.32,26.78,89,81.89,76,42.38,72.57,38,64.09,3.56,12,31,S,34,52,79,26,Credit
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,10,Class 10,History,D,D,27,Subject Content 5 for History,Assessment Area 5 for History,77.12,89.84,65,28.67,92,7.56,11.69,19,52.69,55.85,62,7,S,63,89,35,94,Credit
